yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,FLO,FLA,E,3,161,81.0,79,82,N,N,N,N,731,5509.0,1441.0,274.0,29.0,160.0,540.0,1184.0,168.0,55.0,60.0,51.0,797.0,729.0,4.59,5.0,4.0,48.0,4289.0,1477.0,169.0,650.0,1051.0,125.0,144.0,0.98,Florida Marlins,Pro Player Stadium,1218326.0,94.0,95.0,FLA,FLO,FLO
2001,NL,FLO,FLA,E,4,162,80.0,76,86,N,N,N,N,742,5542.0,1461.0,325.0,30.0,166.0,470.0,1145.0,89.0,40.0,67.0,45.0,744.0,691.0,4.32,5.0,11.0,32.0,4314.0,1397.0,151.0,617.0,1119.0,103.0,174.0,0.983,Florida Marlins,Pro Player Stadium,1261226.0,97.0,97.0,FLA,FLO,FLO
2002,NL,FLO,FLA,E,4,162,81.0,79,83,N,N,N,N,699,5496.0,1433.0,280.0,32.0,146.0,595.0,1130.0,177.0,73.0,61.0,49.0,763.0,706.0,4.36,11.0,12.0,36.0,4369.0,1449.0,151.0,631.0,1104.0,106.0,163.0,0.983,Florida Marlins,Pro Player Stadium,813118.0,97.0,98.0,FLA,FLO,FLO
2003,NL,FLO,FLA,E,2,162,81.0,91,71,N,Y,Y,Y,751,5490.0,1459.0,292.0,44.0,157.0,515.0,978.0,150.0,74.0,57.0,41.0,692.0,648.0,4.04,7.0,11.0,36.0,4336.0,1415.0,128.0,530.0,1132.0,78.0,162.0,0.987,Florida Marlins,Pro Player Stadium,1303215.0,98.0,98.0,FLA,FLO,FLO
2004,NL,FLO,FLA,E,3,162,80.0,83,79,N,N,N,N,718,5486.0,1447.0,275.0,32.0,148.0,499.0,968.0,96.0,43.0,58.0,40.0,700.0,655.0,4.1,6.0,14.0,53.0,4317.0,1395.0,166.0,513.0,1116.0,86.0,153.0,0.986,Florida Marlins,Pro Player Stadium,1723105.0,95.0,95.0,FLA,FLO,FLO
2005,NL,FLO,FLA,E,3,162,81.0,83,79,N,N,N,N,717,5502.0,1499.0,306.0,32.0,128.0,512.0,918.0,96.0,38.0,67.0,50.0,732.0,666.0,4.16,14.0,15.0,42.0,4327.0,1459.0,116.0,563.0,1125.0,103.0,177.0,0.983,Florida Marlins,Dolphin Stadium,1852608.0,94.0,94.0,FLA,FLO,FLO
2006,NL,FLO,FLA,E,4,162,81.0,78,84,N,N,N,N,758,5502.0,1454.0,309.0,42.0,182.0,497.0,1249.0,110.0,58.0,74.0,42.0,772.0,696.0,4.37,6.0,6.0,41.0,4300.0,1465.0,166.0,622.0,1088.0,126.0,166.0,0.979,Florida Marlins,Dolphin Stadium,1164134.0,95.0,96.0,FLA,FLO,FLO
2007,NL,FLO,FLA,E,5,162,81.0,71,91,N,N,N,N,790,5627.0,1504.0,340.0,38.0,201.0,521.0,1332.0,105.0,34.0,82.0,42.0,891.0,793.0,4.94,0.0,4.0,40.0,4331.0,1617.0,176.0,661.0,1142.0,137.0,159.0,0.977,Florida Marlins,Dolphin Stadium,1370511.0,97.0,98.0,FLA,FLO,FLO
2008,NL,FLO,FLA,E,3,161,81.0,84,77,N,N,N,N,770,5499.0,1397.0,302.0,28.0,208.0,543.0,1371.0,76.0,28.0,69.0,46.0,767.0,707.0,4.43,2.0,8.0,36.0,4306.0,1421.0,161.0,586.0,1127.0,117.0,122.0,0.98,Florida Marlins,Dolphin Stadium,1335076.0,101.0,101.0,FLA,FLO,FLO
2009,NL,FLO,FLA,E,2,162,81.0,87,75,N,N,N,N,772,5572.0,1493.0,296.0,25.0,159.0,568.0,1226.0,75.0,35.0,63.0,39.0,766.0,690.0,4.29,5.0,5.0,45.0,4339.0,1425.0,160.0,601.0,1248.0,106.0,129.0,0.982,Florida Marlins,Dolphin Stadium,1464109.0,102.0,102.0,FLA,FLO,FLO
2010,NL,FLO,FLA,E,3,162,81.0,80,82,N,N,N,N,719,5531.0,1403.0,294.0,37.0,152.0,514.0,1375.0,92.0,26.0,55.0,43.0,717.0,652.0,4.08,5.0,17.0,39.0,4315.0,1433.0,134.0,549.0,1168.0,123.0,130.0,0.979,Florida Marlins,Dolphin Stadium,1535226.0,105.0,104.0,FLA,FLO,FLO
2011,NL,FLO,FLA,E,5,162,78.0,72,90,N,N,N,N,625,5508.0,1358.0,274.0,30.0,149.0,542.0,1244.0,95.0,41.0,51.0,42.0,702.0,640.0,3.95,7.0,11.0,40.0,4379.0,1403.0,149.0,500.0,1218.0,93.0,126.0,0.985,Florida Marlins,Sun Life Stadium,1477462.0,99.0,100.0,FLA,FLO,FLO
2012,NL,MIA,FLA,E,5,162,81.0,69,93,N,N,N,N,609,5437.0,1327.0,261.0,39.0,137.0,484.0,1228.0,149.0,41.0,35.0,40.0,724.0,655.0,4.09,5.0,7.0,38.0,4322.0,1448.0,133.0,495.0,1113.0,103.0,154.0,0.983,Miami Marlins,Marlins Park,2219444.0,100.0,100.0,MIA,FLO,MIA
2013,NL,MIA,FLA,E,5,162,81.0,62,100,N,N,N,N,513,5449.0,1257.0,219.0,31.0,95.0,432.0,1232.0,78.0,29.0,56.0,26.0,646.0,602.0,3.71,2.0,13.0,36.0,4380.0,1376.0,121.0,526.0,1177.0,88.0,144.0,0.986,Miami Marlins,Marlins Park,1586322.0,102.0,103.0,MIA,FLO,MIA
2014,NL,MIA,FLA,E,4,162,81.0,77,85,N,N,N,N,645,5538.0,1399.0,254.0,36.0,122.0,501.0,1419.0,58.0,21.0,35.0,39.0,674.0,613.0,3.78,3.0,16.0,42.0,4373.0,1481.0,114.0,458.0,1190.0,97.0,154.0,0.984,Miami Marlins,Marlins Park,1732283.0,103.0,104.0,MIA,FLO,MIA
2015,NL,MIA,FLA,E,3,162,81.0,71,91,N,N,N,N,613,5463.0,1420.0,236.0,40.0,120.0,375.0,1150.0,112.0,45.0,39.0,40.0,678.0,638.0,4.02,0.0,12.0,35.0,4281.0,1374.0,141.0,508.0,1152.0,77.0,162.0,0.987,Miami Marlins,Marlins Park,1752235.0,98.0,97.0,MIA,FLO,MIA
2016,NL,MIA,FLA,E,3,161,80.0,79,82,N,N,N,N,655,,,,,,,,,,,,682.0,,,,,,,,,,,,,,Miami Marlins,Marlins Park,1712417.0,,,MIA,FLO,MIA
2017,NL,MIA,FLA,E,2,162,81.0,77,85,N,N,N,N,778,,,,,,,,,,,,822.0,,,,,,,,,,,,,,Miami Marlins,Marlins Park,1583014.0,,,MIA,FLO,MIA
2018,NL,MIA,FLA,E,5,161,81.0,63,98,N,N,N,N,589,,,,,,,,,,,,809.0,,,,,,,,,,,,,,Miami Marlins,Marlins Park,811104.0,,,MIA,FLO,MIA
2019,NL,MIA,FLA,E,5,162,81.0,57,105,N,N,N,N,615,,,,,,,,,,,,808.0,,,,,,,,,,,,,,Miami Marlins,Marlins Park,811302.0,,,MIA,FLO,MIA
2021,NL,MIA,FLA,E,4,162,81.0,67,95,N,N,N,N,623,,,,,,,,,,,,701.0,,,,,,,,,,,,,,Miami Marlins,Marlins Park,642617.0,,,MIA,FLO,MIA
2022,NL,MIA,FLA,E,4,162,81.0,69,93,N,N,N,N,586,,,,,,,,,,,,676.0,,,,,,,,,,,,,,Miami Marlins,Marlins Park,907487.0,,,MIA,FLO,MIA
